-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23
24,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,26
24,2,9,11,2,9,10,10,10,10,10,10,10,10,11,2,9,11,2,26
24,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26
24,2,12,10,10,10,11,2,9,10,10,11,2,9,10,10,10,14,2,26
24,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,26
24,2,3,2,0,2,9,10,10,10,10,10,10,11,2,0,2,3,2,26
24,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,26
24,2,3,2,3,2,0,2,0,-1,-1,0,2,0,2,3,2,3,2,26
24,2,3,2,3,2,3,2,3,-1,-1,3,2,3,2,3,2,3,2,26
24,2,3,2,3,2,6,2,18,10,10,20,2,6,2,3,2,3,2,26
24,2,3,2,3,8,2,2,2,2,2,2,2,2,8,3,2,3,2,26
24,2,3,2,18,10,10,10,11,2,2,9,10,10,10,20,2,3,2,26
24,2,3,8,2,2,2,2,2,2,2,2,2,2,2,2,8,3,2,26
24,2,18,10,10,10,11,2,9,10,10,11,2,9,10,10,10,20,2,26
24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26
24,2,9,11,2,9,10,10,10,10,10,10,10,10,11,2,9,11,2,26
24,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26
27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29
-1,-1,-1,-1,-1,21,22,22,22,22,22,22,22,22,23,-1,-1,-1,-1,-1
12,10,10,10,10,24,-1,-1,-1,-1,-1,-1,-1,-1,26,10,10,10,10,14
3,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,3
3,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,3
3,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,3
3,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,3
3,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,3
18,10,10,10,10,24,-1,-1,-1,-1,-1,-1,-1,-1,26,10,10,10,10,20
-1,-1,-1,-1,-1,27,28,28,28,28,28,28,28,28,29,-1,-1,-1,-1,-1
